State,State Code,Mother's Education,Mother's Education Code,Deaths,Births
North Carolina,37,"Some college credit, but not a degree",4,218,26866
North Carolina,37,"Associate degree (AA, AS)",5,81,11148
North Carolina,37,"Bachelor's degree (BA, AB, BS)",6,84,23506
North Carolina,37,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,39,10254
Ohio,39,8th grade or less,1,43,4819
Ohio,39,9th through 12th grade with no diploma,2,148,13242
Ohio,39,High school graduate or GED completed,3,349,37301
Ohio,39,"Some college credit, but not a degree",4,178,26806
Ohio,39,"Associate degree (AA, AS)",5,78,12616
Ohio,39,"Bachelor's degree (BA, AB, BS)",6,107,26013
Ohio,39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,37,12254
Oklahoma,40,9th through 12th grade with no diploma,2,65,6487
Oklahoma,40,High school graduate or GED completed,3,147,14775
Oklahoma,40,"Some college credit, but not a degree",4,81,11725
Oklahoma,40,"Associate degree (AA, AS)",5,31,3928
Oklahoma,40,"Bachelor's degree (BA, AB, BS)",6,32,8381
Oregon,41,9th through 12th grade with no diploma,2,30,4212
Oregon,41,High school graduate or GED completed,3,60,9893
Oregon,41,"Some college credit, but not a degree",4,59,10421
Oregon,41,"Bachelor's degree (BA, AB, BS)",6,37,8799
Pennsylvania,42,8th grade or less,1,42,4471
Pennsylvania,42,9th through 12th grade with no diploma,2,90,11823
Pennsylvania,42,High school graduate or GED completed,3,264,34606
Pennsylvania,42,"Some college credit, but not a degree",4,135,24070
Pennsylvania,42,"Associate degree (AA, AS)",5,50,11990
Pennsylvania,42,"Bachelor's degree (BA, AB, BS)",6,89,29284
Pennsylvania,42,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,52,16003
South Carolina,45,9th through 12th grade with no diploma,2,65,6376
South Carolina,45,High school graduate or GED completed,3,114,13793
South Carolina,45,"Some college credit, but not a degree",4,80,14205
South Carolina,45,"Associate degree (AA, AS)",5,23,5132
South Carolina,45,"Bachelor's degree (BA, AB, BS)",6,52,10329
South Dakota,46,High school graduate or GED completed,3,36,2944
South Dakota,46,"Some college credit, but not a degree",4,20,2110
Tennessee,47,9th through 12th grade with no diploma,2,84,7987
Tennessee,47,High school graduate or GED completed,3,220,22746
Tennessee,47,"Some college credit, but not a degree",4,142,19065
Tennessee,47,"Associate degree (AA, AS)",5,26,5868
Tennessee,47,"Bachelor's degree (BA, AB, BS)",6,62,14338
Texas,48,8th grade or less,1,84,12913
Texas,48,9th through 12th grade with no diploma,2,376,53647
Texas,48,High school graduate or GED completed,3,742,105131
Texas,48,"Some college credit, but not a degree",4,496,82983
Texas,48,"Associate degree (AA, AS)",5,115,24008
Texas,48,"Bachelor's degree (BA, AB, BS)",6,232,69377
Texas,48,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,105,25678
Texas,48,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,32,7731
Utah,49,9th through 12th grade with no diploma,2,22,3362
Utah,49,High school graduate or GED completed,3,71,9536
Utah,49,"Some college credit, but not a degree",4,78,12280
Utah,49,"Associate degree (AA, AS)",5,31,5420
Utah,49,"Bachelor's degree (BA, AB, BS)",6,51,13104
Virginia,51,9th through 12th grade with no diploma,2,43,6426
